Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,2030 Logistic,2030 Linear,Logistic evaluation R2,Logistic evaluation PBIAS,Logistic evaluation NRMSE,Linear evaluation R2,Linear evaluation PBIAS,Linear evaluation NRMSE,5-Fold validation mean R2,5-Fold validation mean PBIAS,5-Fold validation mean NRMSE
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),4,Afghanistan,381543.6223656764,2225417.995043397,1.0,-1.3032952551700196e-08,2.2582035613653485e-10,0.7578693042551569,2.8984368650306066e-11,0.4920677755602811,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),8,Albania,1137.9382126782311,-3957.7408776470693,0.045380369490767736,3.366732446061952,0.9770463809406554,0.056256136263621914,-2.8661079138697146e-13,0.9714648031382187,-4.135744884260475,98.89545478027978,1.7991925990237316
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),12,Algeria,348948.57699999964,255420.07316176593,0.40814860556753874,-22.940344125376566,0.7693187859609703,0.09276630219645754,-7.961501699600075e-13,0.9524881615030931,-23232.72160105177,4062.564555443706,69.66033488220272
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),24,Angola,35898.84644940421,34680.01653103065,0.002100820881274945,0.11202334075316721,0.9989490372980622,0.002373290825106178,-2.3416853853043764e-13,0.9988126496870642,-8.58258728461564,72.70757230574958,2.6811804913976367
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),28,Antigua and Barbuda,12.001966056131005,-1434.9592592592817,0.3188594701375169,-31.350779164439523,0.8253123831995272,0.05823132932670827,-1.2743170090337522e-12,0.9704476650872482,-12.751831762243445,54.1515121139183,2.804683569645895
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),32,Argentina,307785.9007214778,257815.21282033063,0.016372632265727383,-0.0003631436601398258,0.9917798988355594,0.014513884167383972,8.020077092307911e-13,0.9927165334739901,-1.9141625732330056,22.935422877172517,1.6087361515854668
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),36,Australia,38784.82630605824,23125.045672995504,0.22115741464039773,-1.823915676038242,0.8825205863658945,0.16867894453527765,5.783864301020966e-13,0.9117680930284424,-8.172191622929876,16.512326976855366,2.5242213046992683
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),40,Austria,10341.556235213378,11039.433823529398,0.983185929133373,-3.738517014726164,0.12966908215386988,0.4526372520046451,0.0,0.7398396772242989,0.11439981245421857,-10.846571468748653,0.8067587043523876
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),50,Bangladesh,25457.31341566025,23737.5,0.4134951635778997,-7.8478888386141765,0.7658360375577138,0.009258436383987267,0.0,0.9953600170872913,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),51,Armenia,364934.2149991127,89601.59000624996,0.9807627191169018,-22.074679293457063,0.13869852516554806,0.22896559749601653,-1.6862182979047154e-12,0.878085646451406,-8.808934966845605,-5.133254604935573,2.5520980447474195
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),52,Barbados,219.67690683704708,265.48087912087885,0.11382128463380259,0.004590222118070816,0.9413706577996774,0.035727678451192624,-1.4358318527101972e-13,0.981973686790439,-11.184421640338712,12.29983302037337,2.9250295199692578
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),64,Bhutan,810.7243592701267,-2600.8560209423886,0.7628736016685227,2.431945355520656,0.48695625915627927,0.8088347033607142,7.737979471812922e-13,0.43722453801140415,-16.863670203841924,8.305281395969706,2.3985754452500467
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),68,Bolivia (Plurinational State of),34586.70124598961,36858.28955090931,0.001969018892403418,0.8474271977808473,0.9990150054466632,0.001513711979246657,1.7684508959765735e-13,0.9992428573779015,-5.468537109679137,78.41675910134862,2.06394342537021
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),72,Botswana,6294.500002663063,27039.538461538497,0.9973116813109437,1.8837961862214432e-05,0.05184899892048345,0.9157837897154666,0.0,0.2902002933915357,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),76,Brazil,626066.2489927092,632495.0109890103,0.006775283600647164,0.2712562854923694,0.9966066006200004,0.005347712020654427,-2.6913379902942483e-13,0.9973225596462488,-1.2097874907616335,5.365103401527211,1.4705547653698794
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),84,Belize,15.96728847657837,-148523.3625999987,0.3060496398918654,-3.308396538468013,0.8330368299830053,0.049006304889887664,1.884962682769011e-12,0.975189056086107,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),90,Solomon Islands,1214.0019999999997,-45199.65714285709,0.9547268953387417,-3.672204223523475,0.2127747744946715,0.4347376299882416,-3.2726213177857845e-12,0.7518393245978547,-69.73335233169186,285.30924490555947,8.410312261247608
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),100,Bulgaria,2402.0389286417667,2402.6229784558273,0.0002038257871557203,6.379584709841014e-05,0.9998980819127737,0.00020376294009138984,8.862670895171091e-14,0.9998981133395084,-1.3040033647990819,11.485935026138149,1.4414083976678225
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),104,Myanmar,132590.78327011794,-2551299.9794065356,0.04610606938421247,6.395650369296882,0.9766749360026536,0.05387791120670893,-3.1321336962175935e-12,0.9726880737385911,-6024.332616392922,1841.2461994291139,49.746184503120915
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),108,Burundi,106240.15006951205,324468.30000000447,0.9523960412166925,2.87489648907711e-10,0.21818331463085672,0.6553248092749699,5.9173154135435035e-12,0.5870904450977124,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),116,Cambodia,39709.95155269712,53341.8200000003,0.15101735556865825,1.1903279482417677,0.9214025420148035,0.14083025986827835,1.0786975705562327e-12,0.9269140953355502,-5.125593844722861,35.02949365155662,2.1821356725260106
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),120,Cameroon,86887.38802984515,44386.334247341845,0.10937621586722401,-3.1893804911317853,0.9437286602264318,0.09444508669911278,5.579237537367628e-13,0.9516064907832897,-900.0330582244075,73.80947047386599,14.424031923774072
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),132,Cabo Verde,,642.6938775510207,0.10937621586722401,,,0.02174631451396636,7.666973249929847e-13,0.9890670783551707,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),144,Sri Lanka,325463.5865987567,180162.09558822215,0.06390196665797443,3.527508412812615,0.9675215932174461,0.05944348366308316,-7.937991413705735e-13,0.9698229304037498,-8.819917122557381,64.59865218200854,2.6293036041817617
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),152,Chile,18839.36919764264,-5763.785714285448,0.001115714475740548,3.482350973683443,0.9994419870729162,0.006806529373398762,-1.0190217082842803e-12,0.9965909244151289,-48.48496095027066,287.6225852534982,5.968621692919872
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),156,China,6410521.167529352,-5468968.799999952,0.7481681292115723,3.994157537369642e-08,0.501828527276427,0.43101802438907477,0.0,0.7543089391031536,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),170,Colombia,230709.8863388825,43561.602941177785,0.03239760073754083,2.4721463381360946,0.9836678297385044,0.03778713129918165,-8.745694662083687e-14,0.9809244969419505,-74.0932431257458,103.94553742950521,6.561226414447029
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),174,Comoros,133938.128990708,44202.766450960655,0.2540810383406077,-56.63107267877533,0.8636660012177116,0.08078604154147806,-4.019689609071738e-13,0.9587564646241099,-55.58299511760232,271.8920077468699,5.996209018384905
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),184,Cook Islands,4447.985740233777,15491.0,1.0,1.5277842072947968e-07,6.758253983017604e-09,1.0,0.0,0.0,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),188,Costa Rica,12825.84334201511,-29150.31512823701,0.020007261820650823,-0.9282257974012951,0.9899458258810676,0.01622315063933255,-9.898159111070714e-13,0.9918552562549978,-7344.026739487973,3596.8549144300387,41.708546305840144
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),191,Croatia,7530.0,,,,,,,,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),192,Cuba,154648.05066390225,-1375.5866666734219,0.05294586411123603,3.4044298502251062,0.9731670647369668,0.05247447014447182,-7.162422033665402e-13,0.9734092304141809,-20.705641365909504,181.65904701220572,4.0517071340774455
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),196,Cyprus,612.2926959805205,769.0589010989061,0.04301511960500071,1.1341624839393851,0.9782560403059106,0.0454301484381866,6.963119378299826e-13,0.9770209064097929,-50.12429716689377,198.4663250475113,4.4073193583923995
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),203,Czechia,58762.96997108146,780764.0,0.9999999805901568,0.009276276619252323,0.00013931921313175787,1.0,0.0,0.0,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),204,Benin,99994.16930353023,-243686.9545454532,0.8757991873436726,-1.5039461149269464e-07,0.3524213566972459,0.10000890099785131,0.0,0.9486786068011382,-84.67275421013252,105.55295097952038,6.055040559370355
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),212,Dominica,18.002000000000002,-2061.0409836065955,0.12798742192273227,-55.01827593882142,0.9338161371904362,0.05147181998446315,-3.1638037239627895e-12,0.9739241140949004,-4.928757653171988,103.37077796539435,2.2755146780446167
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),218,Ecuador,39393.88212664557,40236.38828592468,0.034448052634493465,2.2304603845823365,0.9826250288719021,0.035461138162157346,5.487046217728174e-14,0.9821093940278968,-19.290984150999634,95.67360366977448,2.952032853204934
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),222,El Salvador,783.1745838176448,-29109.314332727343,0.5222093828265257,3.5898442256305954,0.6912239992748185,0.17554406742406603,-1.8352529781347964e-12,0.9079955575749994,-1255.5581981564028,202.98833022159096,16.684472153010567
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),226,Equatorial Guinea,856.9966577202323,2292.5,0.5689280393925696,-1.1303296869126185,0.6565607059575149,0.3121460660714067,0.0,0.8293696003161638,-0.7858436360089323,-70.22741579374863,1.3363546071342487
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),231,Ethiopia,16606320.439851282,10531089.82499516,0.2797874360169298,-3.4368064073206126,0.848653382708789,0.15178868328859507,-5.003960798367619e-13,0.9209838851529405,-11.604352113383582,22.01273113075849,2.708221024402801
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),233,Estonia,599.0062634446597,-4452.0,0.9999999999999987,6.142061065371597e-07,3.7010081535396114e-08,1.0,0.0,0.0,,,
